Sale Date,Title ID,Title Name,Quantity,Track Name,Sales Channel,Royalty
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,3,,AVOD Rental,$2.97 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,2,,AVOD Rental,$1.98 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,2,,AVOD Rental,$1.98 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,2,,AVOD Rental,$1.98 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,2,,AVOD Rental,$1.98 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,2,,AVOD Rental,$1.98 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,233394,History of US Presidents: Teddy Roosevelt - Rough Riders DVD,1,,AVOD Rental,$0.99 
2/27/2015,232357,The Charlie Chaplin Festival - 1917 - Remastered Edition,1,,AVOD Rental,$1.49 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,233394,History of US Presidents: Teddy Roosevelt - Rough Riders DVD,1,,AVOD Rental,$0.99 
2/27/2015,232343,Terror in the Midnight Sun - 1958 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,232640,Flight to Nowhere - 1946 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,233396,History of Westinghouse - An American Industrial Powerhouse DVD,1,,AVOD Rental,$0.99 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,233394,History of US Presidents: Teddy Roosevelt - Rough Riders DVD,1,,AVOD Purchase,$4.97 
2/27/2015,232640,Flight to Nowhere - 1946 - Remastered Edition,1,,AVOD Purchase,$4.97 
2/27/2015,232418,Under the Big Top - 1938 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,232343,Terror in the Midnight Sun - 1958 - Remastered Edition,1,,AVOD Purchase,$4.97 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,233394,History of US Presidents: Teddy Roosevelt - Rough Riders DVD,1,,AVOD Rental,$0.99 
2/27/2015,232343,Terror in the Midnight Sun - 1958 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,232643,City of Missing Girls - 1941 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,232643,City of Missing Girls - 1941 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,233335,Historical South America: An Aerial Perspective,1,,AVOD Rental,$0.99 
2/27/2015,232343,Terror in the Midnight Sun - 1958 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,233396,History of Westinghouse - An American Industrial Powerhouse DVD,1,,AVOD Rental,$0.99 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,232690,Waterfront - 1944 - Remastered Edition,1,,AVOD Purchase,$4.97 
2/27/2015,233394,History of US Presidents: Teddy Roosevelt - Rough Riders DVD,1,,AVOD Purchase,$4.97 
2/27/2015,233394,History of US Presidents: Teddy Roosevelt - Rough Riders DVD,1,,AVOD Rental,$0.99 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,233394,History of US Presidents: Teddy Roosevelt - Rough Riders DVD,1,,AVOD Rental,$0.99 
2/27/2015,233396,History of Westinghouse - An American Industrial Powerhouse DVD,1,,AVOD Rental,$0.99 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,232414,Phantom of Chinatown - 1940 - Remastered Edition,1,,AVOD Rental,$0.99 
2/27/2015,233385,History of Automobiles: Hot Rods! DVD,1,,AVOD Purchase,$4.97 
